rating,title,text
5.0,Not Your Local Walmart's Surge Protector,"Pay attention to the measurements of this thing. I didn't, and I was shocked by how long it is. Most of us think of a surge protector as a compact set of outlets that can easily fit behind a computer or home entertainment center. Not this one. It's more than four feet long with the outlets in a single line running down that entire length. It's what you might see in a store's electronics department where they have a line of television sets all turned on at the same time so you can readily compare their pictures.<br /><br />The instructions specify that it is for home not commercial use though. I have trouble  visualizing a home set up that would require a row of outlets set in a four foot straight line. Perhaps a home workshop with power equipment? Or a more elaborate computer set up, one with components on a rack of shelves? The surge protector can be wall mounted so it could work well with a rack of components.<br /><br />Despite my own bafflement I am still giving this surge protector a 5 star rating for a reason. If you have a place where you can use something along these lines, this could be an excellent product for you. It is solidly built with a durable heft to it. The rating for 600 Joules of protection is significant. A quick google search about Joules turned up a site saying that most surge protectors bought for home usage are rated at 200-300 Joules and as such are essentially worthless.  The minimum suggested was 400 Joules and this surge protector is comfortably above that. That won't help in case of a lightning strike but should be good for more normal occurrences. I'm looking forward to reading the other reviews of this item to see how people would use it in a home.<br /><br />P.S. I dunno if they would actually have something like this in a Walmart as I've never shopped there, or anywhere else, for a four foot surge protector.  :)"
5.0,Well done!,"I'm using a Logitech Harmony Companion remote with the Harmony hub on my home theater setup. My setup consists of a 51&#34; Samsung plasma TV, Vizio Soundbar, Roku and a Windows 7 HTPC with two OTA tuners running Windows Media Center. The Companion works great controlling everything, but because it works with the HTPC over bluetooth, it can't wake it from sleep.<br /><br />I ordered the FLIRC hoping to figure a way to get it to work with the Harmony to add the wake from sleep to my power on sequence. It turned out to be super simple and is working perfectly.<br /><br />I downloaded the software and driver from the FLIRC website and installed on my HTPC. I plugged in the FLIRC to a front USB port and Windows loaded the driver. There was a firmware update available and the FLIRC software prompted me to update which I did. I then selected the WMC MCE remote profile in the FLIRC software and selected the &#34;Start&#34; button that displayed on the image of that remote and then pressed the power on sequence button on my Harmony Companion remote. The software recorded that key press and saved it. That's it, done.<br /><br />One button press on my Harmony companion will now turn on my TV, set it to HDMI 1, turn on my sound bar and wake my HTPC from sleep. This is how well designed technology works; simple and straight forward."
5.0,"Great product, great price","This is a great little SD card case.  Protects the cards very well.  While it only holds eight cards, it retains them each in padding.  I really like the secure closure, which is very robust.  Add to it that the price of this case is lower than most of the others, and this one is a no brainer."
5.0,"Tiny, but mighty","This USB flash drive is tiny, but mighty. It has a lot of storage space at 128GB, however based on the size you would never guess it. There is a loop on it so you can hook right onto your keychain. Added bonus: it’s waterproof and shockproof!"
5.0,Slim with ample space,"I liked the extra space that it allows for attachments or paperwork.  It is very durable.  Now I am sure if I dropped it out of a 2 story window my laptop may not survive, but just taking a harder hit than normal, it seems to be doing it's job."
5.0,Duradero,Hace años que lo compre. Está como nuevo
5.0,PERFECT ...,Amazon was wonderful when I informed them there was a problem with my first cable.  They replaced it @ NO charge.  The new one works perfectly.
5.0,Great Item,"This Fire Stick is wonderful, very easy to set up (as long as you know the info needed) i.e. Your Amazon password along with your sign in.  I must admit I didn't know, but taking the time to look them up made it easy.  This is a short line of one I had and the sound is much better, I've tested it a few times to get 'different' functions working and THAT is great, very easy to ask Alexia about anything and straight away, whatever is right there.  Yes, this is much better that past versions.  I'll be looking for the next version and will get one when they come out."
5.0,Happily satisfied,seller fixed problem and now it's perfect
5.0,Five Stars,I give it as a gift
5.0,Great little DVD player,I bought this DVD player a week ago and I just love it. It's super light and has great audio. The screen size is just fine too. The battery life is wonderful. I was able to watch 4 hours of a 6 hr. movie and I watched the remaining two hours while the DVD player was charging. I would definitely recommend this item.
1.0,Photo of correct card matters.,"Item shown in photo is compantible with 1.5v and 3.3v slots. Card actually only has the key for 1.5v slot. Therefore, I can't use it at all."
5.0,Great quality especially for the price,"I bought these for my son's 15th birthday....he loves them! Great quality especially for the price. He likes them better than the Dr Dre BEATS headphones. More importantly, if he happens to leave them or they get stolen on the bus or locker room (sports), I won't be too bent out of shape and would gladly replace them for the price."
3.0,"The cable works pretty good, just as i expect any other cable ...","The cable works pretty good, just as i expect any other cable would. However, 5ft is a bit short for a audio cable, especially if u use it in your vehicles. It prove to be a bit short for my car, and dependent on where your audio port is it just won't reach. Do yourself a favor and either measure the distance between your device and where your audio jack is on your vehicle or simply just get a longer cable… i.e 6ft or 7ft."
5.0,Very Happy,"This was the easiest set-up I have ever encountered.  It took me longer to dust behind the tv than to hook up to the HDMI on my television.  .<br /><br />I am an Amazon Prime member and just having the ability to watch movies on my tv rather than a computer is a plus.  Additionally, the voice recognition is amazing.  Works way better than the Sync system in my Ford.  I have already used the Pandora app to put Christmas music on as well as watch several movies.  I have downloaded a cookbook (which is a really cool thing to be able to do).  I am still in the process of finding new and interesting things thru Amazon Fire.<br /><br />I debated on this vs. a smart tv and since my Sony in the living room works well, I decided to go with Amazon Fire and bought it on Cyber Monday when it was on sale.  I am so pleased with my purchase."
5.0,I'm Happy!,Like others I'm using this to power my Spark amp and it's working great!
5.0,Good,Good
5.0,WORKS GREAT WITH MY MAC COMPUTER,I had a CD player with a drawer that would slide out for loading.  FOR SOME REASON (probable user error) the drawer was hard to close.<br />I bought this and all I have to do is put the CD into the opening and it feed directly into the reader without any fussing from me.<br />Now I can easily watch my CDs without having to try and close the drawer in order to get the reader to work.
5.0,Five Stars,Had it for a month and it's still good.
5.0,Much better than the flat ones and you can turn off the night light,Allows you to plug up those odd size power supplies with other power supplies This is a lot better than the flat ones oh yeah this is great to charge your cell phone without one of those odd size power supplies
5.0,"Inexpensive!  Excellent, Top-of-the line Projector!","I was on the lookout for an inexpensive, top-of-the-line projector for my basement. This projector fits the bill, it is not very pricey like the one which we have today Epson 730HD (600$).  I kind of became allergic to any kind of pricey gadgets which become obsolete in a matter of few years, be it phones, laptops, or projectors. Any repair or replacement with those units is a kind of pain.  Another big differentiator with this unit is it has a Wi-Fi connection which is a must for hanging it to the ceiling without wires. It easily connects to your Smartphones be it Apple or Android, there is no hassle of any wires or adapters here. I am kind of sold on these 2 points.<br /><br />Above all this unit has 8500 Lumens Brightness compare to 3000 Lumens with 730HD, 1920*1080P resolutions compare to 1280*720p on our Epson. I am pretty impressed with the color brightness and image clarity it produces compared to our expensive Epson unit.  I am also impressed with the speakers on the unit, it boasts about built-in dual stereo speakers (5W) with an SRS sound system, which is completely non-existent on the Epson. I had to always connect the Epson to my external speakers without which we cannot watch any movie or a game. The sound quality on this unit is a bonus which I was not looking for.<br /><br />This unit gives a complete home-theater experience without a big dent in your pocket. I am yet to hang it to our ceiling in our basement, however, it won’t be a big issue, this unit is comparatively very compact and light-in-weight and shall go there without any hassles."
1.0,impossible to install,"Like many Chinese electronics, very confusing to install.  I sent it back."
1.0,"Not Bone conduction, don’t believe it!","Doesn’t fit, and it just plays sound really crappy sound everyone around you can hear what you are listening to. It’s not bone conduction plus you’d have to have a pretty small head for these to fit and they are not adjustable"
5.0,Useful thing,So happy that i purchased this
4.0,Four Stars,ok not using it at this time
5.0,Love it!,Nice little case.
5.0,"Does what it says on the tin, great value for the money","Great charger for the money, especially when a sale pops up. One minor nitpick with the product that's a plus for everyone except USB spec purists: this charger violates the USB spec and supports (at least) QC 2.0 quick charging.<br /><br />I think I own three of these now since they keep going on sale, I've started replacing various laptop chargers and small appliance power bricks with PD trigger cables so a reliable and cheap 65W PD source is always welcome."
5.0,Another great Amazonbasics product!,"Not much to say about this cable. Works great, reasonably priced. I really love Amazon basics products as you normally get a high quality product at a great price. This phone charger is no exception. Works great, charges quickly, highly recommended."
5.0,Powerful and reliable,Seems to work as expected. Have large computer systems and monitors and when cutting power the unit performed well.
5.0,Could be better but no regrets!,"I bought my unit directly from bose for my son who is about a month away from turning 9. He absolutely loved it and called it his best Christmas gift, better than the drone he had wanted to get for Christmas. Although I think the learning of the unit could be a bit more involved, I did like that he learned some about magnets and sound waves but the best part is the joy he is taking in the fact that he build the unit itself. He wants to take it everywhere and show everyone. While it could be a bit better in the amount of things kids do with assembling and learning, it is definitely a hit with my son and I wouldn't hesitate to purchase this again."
5.0,good product,WWorks as it is supposed to.
5.0,70 volt daisy chain,Perfect for connecting my 70 volt system.  Each speaker daisychains to the next and this wire makes it incredibly easy.
5.0,Perfect fit the kiddos,[[VIDEOID:d73906efc7007d0d7c0a7e14b32a5e43]] It’s small like very small in your hand but the headphones size and fit is exactly as AirPods minus the cushions for your ear. They work great and fit my 9 year old just fine! Easy to Bluetooth and pair to phone. Definitely worth it and affordable!
5.0,Works great with Atlantic BB service!,"This was easy to set up and it is an all in one.  Modem and WiFi Router.  This is able to reach in my basement, first floor, and I can stream TV on my second floor.  I have it set up on my first floor and have my TV directly connected.  Our xbox one and xbox series X are in the basement and we play live without any lag.  Works great for us.<br /><br />Trust you found this review honest and helpful:-)"
3.0,Ok in a pinch,"Easy to install, not a great signal, but I haven't lost signal like I used to before it."
1.0,Didnt work well for me.,"It keeps losing connection..whenever my computer goes to sleep...most of the time when it wakes up, the monitor has lost connection."
5.0,Just What We Needed,This switch box works great and I can have all of my monitors going and be able to use them all or switch between the ones I want to use and the ones I don't with a push of a button. Works great to have everything networked together but also without the network. Just what we have been looking for and works like a dream.
1.0,Didn't work with the Switch,I think it might be hit or miss but the adapter I received didn't work with the switch even after trying multiple USBC and HDMI cables on two different TVs. Looks elsewhere for a switch adapter to use as a portable dock.
4.0,Nice USB hub,"I use this primarily as a charging station, since it is a USB 2.0 device in a USB 3.0 world, and for that purpose it works perfectly.  It's small.  It lights up to show that the device is seated properly and is charging.<br /><br />What I like most about it is the elegant design.  On a functional level, one USB 2.0 hub is the same as any other.  The only question is powered or non-powered. You can run this one powered for a charging station, or if your device requires it, and non-powered for those devices that draw enough from a single USB port.<br /><br />What I don't like is the power adapter.  It's not standard, or at least it's smaller than anything else I've seen, so I can't just bring the hub and have one power supply for home and one for the office."
5.0,Five Stars,Just what I needed and came in a very timely manner
5.0,Great product,Love this the adjustablity of this item
4.0,Useful,I had gotten this as a add on product for my G155 Gaming station but have also used this for my generator during hurricane sandy.  This little item came in handy!  Haha
5.0,"In the end, worth it. 4 Stars if you're cheap, 5 stars if you care ;-)","I was really questioning whether to spend this amount of money on two little squares of clear plastic. I could have cut out my own protector from an old cellphone screen protector. But these fit perfectly, are very high quality, and they went on super-easy with no bubbling (in my case) and perfect fit. You can't even tell there is a protector on the screen, they are so clear and hard. So now I feel it was money well spent."
3.0,Nearly weightless,Stuffed with styrofoam pellets at no weight. Too light to do what I was expecting ... as in hold the tablet in bed without rolling over when I change my leg position.<br /><br />Underwhelming. Does not meet expectations.
5.0,Five Stars,Great product!!
4.0,"Everything works just fine, the overall build quality is really poor but ...","Everything works just fine, the overall build quality is really poor but it isn't a very expensive setup so I wouldn't expect a lot. If you use something like this often I would look elsewhere but if you are just using occasionally this would work fine."
3.0,Had to return first one,Cable did not work.  Returned and replacement is okay.<br />Would be a five star but for need to return.
5.0,Great product,This banner was great for my backdrop for graduation season.
4.0,QuickCam MP,This is an excellent camera. It is easy to set up and use. I purchased it to use with Skype and it has exceeded my expectations.
1.0,A disappointment,Very disappointed with this product. It's China cheaply made. Will not recommend this.
5.0,"Great priced frame, looks amazing!","This is a really good price for a 10"" digital frame. It was easy to set up and easy to use. I added pictures with no problem and have it on display in my living room- the picture looks great! No problems with this one at all."
4.0,Four Stars,Quick delivery. I tried to use with my TV and can't without getting an adapter.  WISH I had known.
5.0,"Battery life, sound quality","[[VIDEOID:52267ebace11797d7d899f0bd45e2b5d]] Great batter life, comes with differ rubber ear buds to find the perfect fit. The sound quality is very nice and does do a great job at hiding the background noise."
5.0,Five Stars,Veritile and reuseable.
5.0,Very fast and exactly as described,"Although it was refurbished, it seemed brand new.  An I7 with good graphics at this price was a very fair deal."
1.0,From love,They did not work at all thank you.
5.0,Great tv great quality,Highly recommend this tv! We have had it for a year without any issues. Great picture and sound quality. We were hesitant at first due to some bad reviews
4.0,Good camera,This has a good picture.
4.0,Great Buy!,"PROS: Low price, LCD, AC/DC, AV inputs, headphone jack, auto mutes built-in peaker when headphones are used, decent battery life and overall ease of use.<br /><br />CONS: No supplied AV cables or AC adapter, mono output, and it doesn't fit in my shirt pocket.<br /><br />BOTTOM LINE: This was the least expensive TV I could find for our annual IL to AL car trip with two kids. I paid $28+ at Sam's Club in November 2003. The unit worked wonderfully as a TV; but, reception was glitchy at times on the highway; but then so  was my cellphone. We bought a second one when we returned home.<br /><br />RECOMMEND: Yes"
5.0,Exactly what I was looking for.,This Kindle paper white met or exceeded my expectations.  It's simple to use.  I didn't purchase it for the waterproof  feature.  I purchased it for the storage.  I am pleased with how easy it is to read in low light.
5.0,Five Stars,"Does the job, and well priced."
5.0,Works Great!,This is a nice replacement charger for my chromebook. It fits nicely and it works great. It's good to have a backup on hand and I will keep this in my travel pack so I always have it with me.
5.0,Five Stars,Works great for iPod classic 5 gen hard drive replacement
5.0,Five Stars,Numbers are huge! Just what I wanted.
5.0,I am happy I went with this one.,"I read several reviews on Amazon on all different dvd players and was really glad that I chose this one.  It's very simple to use which is what I want, simplicity on the road.  Basic little player is what this offers with quality in the sound and picture."
5.0,Perfect,It was worth the money
5.0,Great speakers!,"Good to set out on the deck or wherever, awesome sound, appears to be pretty durable as well."
2.0,In my opinion a waste of time,"I thought this was going to be a great money saving option to track my dogs using A GPS system. They stated that this would be free GPS. There was no SIM card in the package nor was there any one recommendation. I could not figure out what I should do to solve the problem or to get the free GPS tracking or what SIM card I should be using. I could not figure out what I should do so it could be me that is why I did not give this product A 1 and I gave it a 2. But the whole ordeal to me was a waste of time. At first, I thought that it was going to be a money saving tracker because I do have trackers on my dogs already on a GPS system that I have to pay for monthly. I was so excited trying to convince my wife to get off the paid for GPS system and go with the so-called free GPS system offered by this device. Although I did not pay for this GPS system, I still think it was a waste of my time because I could never figure it out, nor could my wife who is very tech savvy. anyway, I am letting this go to the dogs but not my dogs.  OZ"
3.0,Get what you pay for,It's nice for a bedroom or office where it is quiet but volume is bad
5.0,Perfect fit,Perfect product
5.0,Good,Good
3.0,"Good UPS, loud fan noise!",The UPS is good but the fan is so loud and annoying unless you have this unit in a server room.
4.0,It works great.,These are very nice I am usually a user of tile for my keys and stuff but I like the approach of having the remote it is simple to all and no app to install and navigate so A+ for that one. Use these in mu roku remotes that always are missing and no more lost remote. The remotes have great distance and even work when I placed one in my rfid blocking wallet.
5.0,Great sound,Easy to set up.  Great sound for price
5.0,Love It,The added height and domed shape of this brass tri-tadpole soft release button adds just enough feel to make shooting with the X-E2 that much better. The brass and black button looks awesome on my all black X-E2 body and the tri-tadpole design is very distinctive. The rubber gasket under the button keeps it from loosening and getting lost.<br /><br />Price wise this is seriously expensive but it's very well made so I guess you get what you pay for.
2.0,Hurts my ears,They are not comfortable and don’t stay in my ears but the sound was awesome. Wish it would have worked.
5.0,Works fine,Not much to say besides that it works. I've had them for a few weeks and use one in my car regularly. The other one I keep in my house and use occasionally. Both have worked fine so far.
5.0,Works great,works great
5.0,Sturdy well made charging cable,"Sturdy, well-made charging cable. Connects easly to your phone offering fast, consistent charging."
5.0,Buy them,"[[VIDEOID:537c7accd557ef46fc23e9e3beec9b05]] I’m very satisfied with this purchase. In the past I’ve had issue with the earphones being uncomfortable, however  the cushions on these are sooo comfortable, barely know that they’re on. The design is sleek sound is crisp BEST earphones I’ve EVER had."
5.0,"Try them, you'll like them!!","Great value, super good connection and fast charging. looks like a keeper."
4.0,Air flow is decent.,"It’s a small fan but moves the air around pretty good, that and the windows open. I’ve had the<br />air conditioner fixed twice in my truck and can’t afford a third time especially since biden caused prices of goods to soar."
1.0,WARNING: These cables are VERY touchy. Very disappointed....,"We recently ordered a pack of several of these “Amazon basic” cables.  They look/feel good but are very touchy in terms of when they are hooked up to my Iphone or Ipad. If they get even the slightest jolt or arent somehow “just right” when you use these cables to power up your device, they can fail to convey power to your device during charge-up.<br /><br />They may be called “Amazon basics.”  However, one of the key most-basic things I expect from power cables is if we plug one end of the cable into a charger and the other end into my Apple device, it should then carry electrical current to your device.  If you even look at these cables wrong, they won’t seat/pair up with your apple and your device won’t charge.  Very disappointed with Amazon on this one."
4.0,Mine doesn't clip onto lapels very securely.,"I've twice tried clipping mine to a second person's lapel, but I haven't felt safe leaving it there.  I'm using a Sony ICDUX560BLK with a Purple Panda lapel mic.  That feels secure because the lapel mic is clipped to my collar (securely), the wire goes down underneath my shirt, and the unit is in my pocket.  The ICD-TX650 just doesn't feel like it will stay there.  Perhaps, it is my unit.  Once, I tried to put it on a fellow bicycler.  Once, I tried to put it on my wife before she climbed into a wet rice paddy.  Both times, the TX-650 just felt loose.  Maybe I just need to plug a lapel into it and use it as I do the ICD-UX560.  The mic seems good.  I'm not knocking the mic internals or the sound.  I haven't used it yet, so I don't know.  I just can't use the mic the way I intended.  I should have read the reviews more thoroughly.  Perhaps, though, it is just the clip on mine that doesn't seem so strong."
3.0,Three Stars,It looks and feels nice but the back cracked after a few weeks without me ever dropping it.
5.0,Perfect for use with my Garmin,"I got this to connect my Garmin Edge 1000 to an external battery during long rides. It's long enough to go between the handlebars where my Edge is and the battery, without getting in the way. The right angle is just right to keep the plug from getting in the way when the Edge is mounted on my bike. Normal non-right angle plugs won't fit."
1.0,I loved it but it was it worth the price for one year???,"[[VIDEOID:b7d3919daae16bd0adc3b09cb91c830c]] I loved my e-reader!!!  It was just what I wanted size wise and the battery was so long lasting. Compared to Apple products well you really can’t compare…..<br />However after one year it begin to what icon frozen scream syndrome. It would freeze up and I would not be able to use it, couldn’t turn it off couldn’t turn it on couldn’t charge it just couldn’t get it to respond.. If there was a battery in it I would almost think it was one of those things you need to remove battery and then put it back in but the Best Buy knowledge there is not a battery in a Kindle e-reader. Wouldn’t you know although I pride myself on buying Amazon warrantees because they are so reasonably priced for some reason I missed purchasing one for this item. So now the great debate as I’m not sure I want to invest in another one. I’ll be doing some research."
2.0,Sticking with Plantronics... thanks.,"I bought this headset thinking to replace my aging (yet still functional) Plantronics that I've used every day of the week for 5+ years.<br /><br />Well, I'm still with my old Plantronics, and after using this, I'll probably replace it with a similar model from them!<br /><br />The good:<br /><br />1) The ear pad is comfortable and largish, which works for me.  I like a headset that feels comfortable against my ear for long periods of time (as in many hours).<br /><br />2) The price here is a third of what I paid... can't believe I didn't research this, but I fell for the old ""if it's expensive, it has to be good"" marketing ploy at an Office ***-***** style store.<br /><br />The bad:<br /><br />1) The bumped out hard rubber piece that sits on your non-listening ear was both uncomfortable and shaped the opposite of how it will fit your head<br /><br />2) The ""mute"" button only works while you hold it in.  How does that help me on a 2 hour conference call?  My Plantronics has a switch.<br /><br />3) No Voice volume boost?  Come on!<br /><br />4) The ""noise cancelling"" is also ""voice cancelling"" to some degree.  I had to increase my volume just to be heard.  This was the main reason I ditched it after two days of testing with a newer phone system.  It turns out that my Panasonic 2-line 5GHz cordless units also lower the output of my voice, but this thing does too.  Going back to my old headset made it more reasonable for others to hear me.  I don't have to shout as often (the problem with my new phone system made me question if I was being objectionable about the headset at first)<br /><br />5) The fold out style of the headband is pretty inflexible and seems sort of pointless.  I found that it dug into my head a little.<br /><br />I've always been one to try new technology, and this looked on par with my original headset.  I was (and still am) firmly in the Plantronics camp, but I thought I'd give it a try.  Sorry to say that I did.  After this, I may never try another brand.  (No, Plantronics didn't solicit this review, but they sure could send me some money if they feel like it!) ;-)<br /><br />Don't buy it.  You'll probably return it just like I did."
5.0,Excellent External Hard Drive,Works like a charm and such a good value. Able to put files and games on this keeping my main computer clear and running quickly. Highly recommend this.
5.0,Just what I wanted,"The Nulaxy laptop stand is exactly what I wanted for my 15"" laptop. The stand is very sturdy. I can't imagine the metal that it's made of ever breaking or otherwise failing. The adjustable support that allows changing the angle of the laptop is quite ""grippy,"" meaning that when you set the adjustment to what you prefer the angle won't change because of slippage. It has rubber feet that prevent slipping on a table top, as well as protecting the table from scratches. I use it on my very fine oak table without a need for a pad or other protector of the wood. All in all I'm very happy with the stand and would recommend it to others without hesitation."
5.0,Great gift,"Got this for a non smart tv.  Now they can watch Netflix, prime, etc.  easy to install. Love alexa’s usefulness and a good price."
5.0,Gets the job done.,"The socks fit well and cannot be seen when wearing my deck shoes.  I needed them because I bought a pair of black Topsiders and they bled all over my feet.  Deck shoes are not meant to be worn with socks, but in this case your socks have saved me a lot of trouble removing the black dye from my feet."
3.0,"Slow charging. Light is helpful, but bright.","Initially, I liked this cable enough to order another couple packs. I failed to notice that my phone alerts me to ""Slow Charging"" while using this cable with my new gaming laptop. I don't recall seeing this alert using the wall charger in the bedroom. The light is helpful in locating the end in a dark room or car. But, the light is a little too bright. I appreciate the various lengths of cables that come in a pack. I wish that it wasn't ""Slow Charging"" when connected to my laptop."
5.0,PERFECT NIGHTSTAND CLOCK,"I ordered this clock after mine, that I'd had for 27 years was broken.  Make no mistake, the clock still worked.  The battery compartment back finally broke off after years of either being dropped or thrown to the floor when the alarm went off. (-:  My older Seiko, which was given to me as a gift, still worked perfectly, and I'm betting this one will give me the same dependable service.  In addition to it being a quality timepiece, it quite pretty too.  If you need an alarm clock you can't go wrong with this one for yourself or as a gift."
3.0,Ok magnet,So I way hoping the full thing was a magnet but its only 3 small magnets on the bottom. So its not as strong as I was hoping for when using when driving. It does work if its stationary but when driving its not very strong.
5.0,"Easy Setup,","So far so good,  Super easy setup right out of the box.  Only owned it for a day but I really like it so far."
1.0,Just no.,Good looking mouse but after a while it starts falling asleep or something. I have to click it and move it a bunch of times. Unreliable mouse but gets the job done eventually<br /><br />***update: mouse died after 3 months. Moves around the screen just fine but couldn’t click on anything. Pay the extra $5 for a better product/brand
5.0,Oh-2 is great!,"I've been a fan of this company since I received fantastic after purchase support with my old oh-1 model iems. I decided to grab the oh-2s and I'm very pleased. Not only do you get very well packacked iems, they come with extra tips to fit the ear and a nice little case. The oh-2 sounds great to me, I'm pleased for the price I paid. Great stuff ikko!"
5.0,Works great with VMware Workstation Pro for setting up virtual machines ...,Works great with VMware Workstation Pro for setting up virtual machines on a virtual NIC configured for bridged mode specific to this Wi-Fi adapter. No need to install drivers on your VMs if you do it this way. Great for labs and experimental environments that are prohibited from connecting to live production environments.
3.0,Works great,Needed this as there isn't a cable that goes from Thunderbolt 2 to 3 and so had to get this but these adapters are crazy expensive
3.0,EHHHH average,"I bought these to replace my former Samsung Galaxy tabs.  This is not as good, its heavier and it doesn't have the home screen buttons, so its difficult to go back, forward or back to the home screeen.  Thats the biggest difference, is moving back and forth and to home screen, which is essential."
5.0,Good Quality Charger,Been buying these for awhile....
5.0,I was mistaken... this media works fine,"After my initial rant... :) I figured out (duh) that my Mac's Drive had cacked. Cacked. Got a new one, installed and each and every one of the Amazon Basics has worked and I am about to the bottom of the pile. Me sorry... we all get stupid from time to time. I take it all back. I tell you, cleaning a dying DVD drive will not resurrect it. This media is just fine, good price. I'm about to order another spindle. Shame on me for wanting not to believe it was my drive. Drives are cheap nowadays, thankfully, and most monkeys like me can install one, specially on a Mac. No brainer.<br /><br />MY PREVIOUS REVIEW, totally clueless.<br />As a rule, I trust things that Amazon puts their name on, but after buying these, I will not repeat. These will not burn on my Mac G5 (even after lens cleaning) with Toast. I get the dreaded Sense Key = Hardware Error and Sense Code = 0x44 Internal target failure, then ""medium error...."" and the list of errors goes further. This began with the first one off the top of the spindle (everything worked fine on my recent Memorex spindle which ran out yesterday) and now I've ruined three of these (from different spots on the 'pile' ... I guess they're not ruined if unuseable anyway, eh? I tried burning more slowly than 16x, have tried different files, no dice. I bought them a few months ago, so I'm sure I can't return them, which would likely cost as much to return as they cost in the first place. Maybe I just got a bad batch and they're a small ticket item so customer service being what it is nowadays... I see more complaints on the net about them.  My next move is to string them up on my garden fence to maybe scare off the deer. Note, I've cleaned the lens three times, blasted with air and my trusty Memorex will burn fine. It cost me more in billable time today to mess around with these and try to discover the problem than this junk cost in the first place. Never again. Look out landfill, here they come. And shame on you Amazon."
4.0,Easy to use,Much lighter than the HD!! Easy to use. Haven't accessed all the features yet.
5.0,Highly recommended!,"I bought this bag for travel with my laptop. It's one of the few bags that is wide enough to accommodate its extra-wide size. Upon receiving the bag I was pleasantly surprised at how many pockets it has. My laptop can be snugly secured inside with a velcro strap, my bulky charger fits inside as well, and there are a ton of pockets, both zippered and non-, on the outside.<br /><br />I think this bag could be used for a laptop or tablet and with a spiral bound notebook or two. It's got enough pockets (even some for credit cards) to be used as a purse. Even the handles have their own pockets they can be tucked away into. Overall, it seems to be slim and made sturdy, and the padded shoulder strap is comfortable. I'm definitely recommending it!"
4.0,Works well with proper smartphone and television,"The Belkin Miracast Video Adapter works well if the correct equipment is available, but doesn't work at all if you are using a noncompliant smartphone or television.  I first thought my two year old Vizio television would not work because it has no USB port, but after ordering a new set, realized that the USB could be utilized from an outside source.  After trying several times to ate my Razr to the Belkin, I realized that the connection was unobtainable because the phone is not operating on the correct system.  I then enlisted a friend with a compatible phone and we were able to make the connection very quickly, then watched gleefully on the Vizio.  For a smartphone with Miracast capability, this works well and should be considered.  Since technology changes rapidly, as do our phones, I would not hesitate to use this if it fits into your budget.  When I replace my smartphone in the next few months, I will certainly verify on the Belkin website that the new purchase is compatible because it is an outstanding option for viewing images and listening to audio on a big screen.  I have been satisfied with my other Belkin products and find them to be a reliable company.  If your set has an HDMI port which isn't easy to access, this device also includes an extender which has worked well for my set.  Otherwise, I would not have been able to plug in the USB cable because of its position."
3.0,Weight perfect. Noise canceling perfect,"Wish these were wireless. Thought they were but no. Weight perfect. Noise canceling perfect. Sound quality pretty good. Problem wired. I bought these because I got Beats Studio 2.0 as a gift and thought the Bose were better. Wrong! The Bose is way better in noise canceling no question about that, but if you are playing something not so much. Sound quality is better  with the Bose if you are comparing wired vs wired connections. But if you compare the Bose wired connection to the Beats wireless connection there is no clear winner. Beats are optimized for wireless. It is the controls and wireless that makes you buy Beats. No cord , volume up, down, mute, fast forward, back, All on the ear phone easy to find and reach. On the Bose on a small cord up down and mute  good luck finding it. I really wanted to find the Bose superior because I thought I wanted noise canceling most but after hours of listening I found the Beats the better value. If you are looking for quite only buy the Bose. No question they reduce background noise better. But I bought the Beats."
5.0,Five Stars,perfect for hp envy 17&#34; laptop.
5.0,Purchased as a second remote for bedroom Fire tv.,"My wife usually falls asleep in bed without setting the sleep timer on our Insignia Fire tv. I sometimes inadvertently woke her searching for the remote to turn it off. I ordered tis second remote for my side of the bed.<br /><br />After adding batteries, this new remote worked out of the box for basic control functions. The included manual pointed out that the remote would need to be paired with the tv for full function control. The manual included simple instructions for pairing. The new remote now fully controls my Insignia Fire tv.<br /><br />Problem solved."
5.0,This is a great product from a great seller,This is a great product from a great seller. I'm overly impressed with this product. Disclaimer: I was provided a discount code for my unbiased and honest review.
5.0,Best Buy for money,Nice case durable iPad fix screen in it all components work really good buy for your money
1.0,Worthless,"Sound isn't very good,  the padding around ear came off within 2 days, ear broke off shortly after we got them and all of this before my son could get them for his birthday! Wish I had bought a better pair,  it seems everything paw patrol is expensive but these just weren't worth the price."
5.0,Great. I have the big TASCAM one,"Great. I have the big TASCAM one, and this one is a simple one to use since it is smaller. This is my SECOND Sony DG, the first  (model ICD-PX820) stopped working one day out of the blue after only 1 1/2 years of being very good to it.<br /><br />I upload into the computer via MICRO USB or MICROSD card (which I also buy on Amazon)"
4.0,"Good for light use, bad for heavy use","This is a surprisingly well built piece of equipment, very durable, and the clearances are just right so that it's easy to load and unload even when it has a bit of dirt or sand inside the clamp. However, the button is a bit too easy to press. I lost my camera without even realizing it when (I assume) a branch brushed against me, hit the button, and released the camera. All I know for sure is that I walked through a field of brush with my camera clipped onto my shoulder strap and when I got to the other side my camera was gone."
5.0,this is my second royal purple leather case,"After several years, the magnetic closure failed to work and the rim began to crack. I bought another because I like the product but nothing lasts forever. The color is not as bright purple as pictured, its deeper in color."
5.0,Sweet radio,Nice looking radio with alot of features CD player as well as hook up for digital music
